openshift_images,container_name,OS,lang,lib,app,app_server,plugin,runlib,runtime,Openshift_Correspondent_Image_Url,DockerImageType
openshift_images,expect,576,315,,,,,,,https://quay.io/repository/baseimage/expect,Lang
openshift_images,focus,576,321,,,,,,,https://quay.io/repository/biocontainers/focus,Lang
openshift_images,fortran,576,322,,,,,,,https://quay.io/repository/eriktrent/fortran,Lang
openshift_images,graphql,576,324,,,,,,,https://quay.io/repository/wasmoffload/graphql,Lang
openshift_images,groovy,576,325,,,,,,,https://quay.io/repository/official-images/groovy,Lang
openshift_images,jcl,576,338,,,,,,,https://quay.io/repository/jclaret/jcl,Lang
openshift_images,sas,576,360,,,,,,,https://quay.io/repository/domino/sas,Lang
openshift_images,scala,576,362,,,,,,,https://quay.io/repository/azavea/scala,Lang
openshift_images,typescript,576,367,,,,,,,https://quay.io/repository/ellerbrock/typescript,Lang
openshift_images,log4j,576,,394,,,,,,https://quay.io/repository/crozzy/log4j,Lib
openshift_images,struts,576,,402,,,,,,https://quay.io/repository/arifulhuq/struts,Lib
openshift_images,angularjs,576,,406,,,,,,https://quay.io/repository/amaljose/angularjs,Lib
openshift_images,react,576,,413,,,,,,https://quay.io/repository/profects/react,Lib
openshift_images,android,418,,,,,,,,https://quay.io/repository/bitriseio/android,OS
openshift_images,dart,421,,,,,,,,https://quay.io/repository/biocontainers/dart,OS
openshift_images,centos,427,,,,,,,,https://quay.io/repository/centos/centos,OS
openshift_images,debian,429,,,,,,,,https://quay.io/repository/official-images/debian,OS
openshift_images,opensuse,431,,,,,,,,https://quay.io/repository/wstein/opensuse,OS
openshift_images,ubuntu,436,,,,,,,,https://quay.io/repository/libpod/ubuntu,OS
openshift_images,freebsd,447,,,,,,,,https://quay.io/repository/uchida/freebsd,OS
openshift_images,fedora,453,,,,,,,,https://quay.io/repository/fedora/fedora,OS
openshift_images,ado,576,,,,,,488,,https://quay.io/repository/scottlezberg/ado,Runlib
openshift_images,wildfly,576,,,,,,493,,https://quay.io/repository/wildfly/wildfly,Runlib
openshift_images,flash,576,,,,,,,504,https://quay.io/repository/biocontainers/flash,Runtime
openshift_images,windows,580,,,,,,,,https://quay.io/repository/mhallin/windows,OS
openshift_images,java,576,584,,,,,,,https://quay.io/repository/tamr/java,Lang
openshift_images,perl,576,585,,,,,,,https://quay.io/repository/biocontainers/perl,Lang
openshift_images,php,576,586,,,,,,,https://quay.io/repository/kissj/php,Lang
openshift_images,python,576,587,,,,,,,https://quay.io/repository/56401deb-7290-4d8b-8731-baf6d8b5d27d/python,Lang
openshift_images,ruby,576,588,,,,,,,https://quay.io/repository/56401deb-7290-4d8b-8731-baf6d8b5d27d/ruby,Lang
openshift_images,instana,576,,,,,,,611,https://quay.io/repository/yaoyao/instana,Runtime
openshift_images,credstash,576,,,612,,,,,https://quay.io/repository/safesoftware/credstash,App
openshift_images,snyk,576,,,613,,,,,https://quay.io/repository/exd_infra_plts_cip/snyk,App
openshift_images,akka,576,,,614,,,,,https://quay.io/repository/j0zi/akka,App
openshift_images,varnish,576,,,,615,,,,https://quay.io/repository/api-platform/varnish,App_Server
openshift_images,datadog,576,,,,,,,616,https://quay.io/repository/blondie/datadog,Runtime
openshift_images,hazelcast,576,,,,,,,618,https://quay.io/repository/hazelcast_cloud/hazelcast,Runtime
openshift_images,infinispan,576,,,619,,,,,https://quay.io/repository/operatorhubio/infinispan,App
openshift_images,nuxeo,576,,,,,,,620,https://quay.io/repository/swsmirror/nuxeo,Runtime
openshift_images,arangodb,576,,,621,,,,,https://quay.io/repository/swsmirror/arangodb,App
openshift_images,clickhouse,576,,,624,,,,,https://quay.io/repository/operatorhubio/clickhouse,App
openshift_images,minio,576,,,625,,,,,https://quay.io/repository/minio/minio,App
openshift_images,elasticsearch,576,,,626,,,,,https://quay.io/repository/fluentd_elasticsearch/elasticsearch,App
openshift_images,keycloak,576,,,628,,,,,https://quay.io/repository/keycloak/keycloak,App
openshift_images,grafana,576,,,629,,,,,https://quay.io/repository/tamr/grafana,App
openshift_images,mattermost,576,,,,,,,630,https://quay.io/repository/jostone/mattermost,Runtime
openshift_images,synapse,576,,,631,,,,,https://quay.io/repository/dockernohub/synapse,App
openshift_images,kubeflow,576,,,,,,,635,https://quay.io/repository/operatorhubio/kubeflow,Runtime
openshift_images,sematext,576,,,,,,,639,https://quay.io/repository/operatorhubio/sematext,Runtime
openshift_images,mariadb,576,,,642,,,,,https://quay.io/repository/startx/mariadb,App
openshift_images,istio,576,,,644,,,,,https://quay.io/repository/aspenmesh/istio,App
openshift_images,vault,576,,,645,,,,,https://quay.io/repository/cybozu/vault,App
openshift_images,etcd,576,,,647,,,,,https://quay.io/repository/coreos/etcd,App
openshift_images,traefik,576,,,,648,,,,https://quay.io/repository/widen/traefik,App_Server
openshift_images,yugabytedb,576,,,650,,,,,https://quay.io/repository/marco_antonioni/yugabytedb,App
openshift_images,cockroachdb,576,,,651,,,,,https://quay.io/repository/helmoperators/cockroachdb,App
openshift_images,jaeger,576,,,,,,,652,https://quay.io/repository/operatorhubio/jaeger,Runtime
openshift_images,powershell,576,660,,,,,,,https://quay.io/repository/powerdock/powershell,Lang
openshift_images,dds,576,663,,,,,,,https://quay.io/repository/havoc/dds,Lang
openshift_images,git,576,,,677,,,,,https://quay.io/repository/sisense/git,App
openshift_images,gitlab,576,,,678,,,,,https://quay.io/repository/sameersbn/gitlab,App
openshift_images,mysql,576,,,684,,,,,https://quay.io/repository/openshifttest/mysql,App
openshift_images,postgresql,576,,,686,,,,,https://quay.io/repository/56401deb-7290-4d8b-8731-baf6d8b5d27d/postgresql,App
