openshift_images,container_name,OS,lang,lib,app,app_server,plugin,runlib,runtime,Openshift_Correspondent_Image_Url,DockerImageType
openshift_images,ansible,576,,,5,,,,,https://quay.io/repository/cloudctl/ansible,App
openshift_images,asterisk,576,,,14,,,,,https://quay.io/repository/citybaseinc/asterisk,App
openshift_images,db2,576,,,43,,,,,https://quay.io/repository/quarkusqeteam/db2,App
openshift_images,drupal,576,,,45,,,,,https://quay.io/repository/official-images/drupal,App
openshift_images,elastic,576,,,47,,,,,https://quay.io/repository/kmamgain/elastic,App
openshift_images,genymotion,576,,,54,,,,,https://quay.io/repository/alaska/genymotion,App
openshift_images,hadoop,576,,,57,,,,,https://quay.io/repository/iguazio/hadoop,App
openshift_images,jenkins,576,,,90,,,,,https://quay.io/repository/cdis/jenkins,App
openshift_images,memcached,576,,,98,,,,,https://quay.io/repository/jitesoft/memcached,App
openshift_images,mysql,576,,,122,,,,,https://quay.io/repository/openshifttest/mysql,App
openshift_images,neo4j,576,,,123,,,,,https://quay.io/repository/56401deb-7290-4d8b-8731-baf6d8b5d27d/neo4j,App
openshift_images,openldap,576,,,126,,,,,https://quay.io/repository/56401deb-7290-4d8b-8731-baf6d8b5d27d/openldap,App
openshift_images,openvpn,576,,,128,,,,,https://quay.io/repository/kubermatic/openvpn,App
openshift_images,pentaho,576,,,150,,,,,https://quay.io/repository/hasni/pentaho,App
openshift_images,postgresql,576,,,157,,,,,https://quay.io/repository/56401deb-7290-4d8b-8731-baf6d8b5d27d/postgresql,App
openshift_images,rabbitmq,576,,,165,,,,,https://quay.io/repository/56401deb-7290-4d8b-8731-baf6d8b5d27d/rabbitmq,App
openshift_images,redis,576,,,168,,,,,https://quay.io/repository/sameersbn/redis,App
openshift_images,remedy,576,,,169,,,,,https://quay.io/repository/amosnl/remedy,App
openshift_images,riak,576,,,170,,,,,https://quay.io/repository/dotabuff/riak,App
openshift_images,sentry,576,,,180,,,,,https://quay.io/repository/app-sre/sentry,App
openshift_images,sonarqube,576,,,186,,,,,https://quay.io/repository/gpte-devops-automation/sonarqube,App
openshift_images,splunk,576,,,188,,,,,https://quay.io/repository/mariaelisacf/splunk,App
openshift_images,whois,576,,,212,,,,,https://quay.io/repository/westonsteimel/whois,App
openshift_images,tableau,576,,,213,,,,,https://quay.io/repository/growthstack/tableau,App
openshift_images,wordpress,576,,,245,,,,,https://quay.io/repository/redhattraining/wordpress,App
openshift_images,sqlite,576,,,258,,,,,https://quay.io/repository/fale/sqlite,App
openshift_images,glassfish,576,,,,263,,,,https://quay.io/repository/mohamedf0/glassfish,App_Server
openshift_images,haproxy,576,,,,264,,,,https://quay.io/repository/jduimovich0/haproxy,App_Server
openshift_images,lucee,576,,,,271,,,,https://quay.io/repository/daemonite/lucee,App_Server
openshift_images,nginx,576,,,,274,,,,https://quay.io/repository/openshift-scale/nginx,App_Server
openshift_images,spark,576,,,,280,,,,https://quay.io/repository/56401deb-7290-4d8b-8731-baf6d8b5d27d/spark,App_Server
openshift_images,awk,576,300,,,,,,,https://quay.io/repository/shenglai/awk,Lang
openshift_images,basic,576,301,,,,,,,https://quay.io/repository/biocontainers/basic,Lang
